timestamp,time,underlying_price,strike,type,bid_px,ask_px,trade_px,OI,delta,volatility,gamma,theta,vega,days_to_expiry,intrinsic_value,time_value,days_to_expiry
1567655160100000000,09:16:00.100000000,2718460.1366,2520000.0000,put,90.0000,100.0000,90.0000,120.0000,-0.0100,1.0743,0.0000,-17.4000,8.4315,0.2601,0.0000,90.0000,0.2601
1567655160100000000,09:16:00.100000000,2718460.1366,2540000.0000,put,30.0000,50.0000,30.0000,112720.0000,-0.0100,0.8931,0.0000,-8.3000,4.8008,0.2598,0.0000,30.0000,0.2598
1567655160100000000,09:16:00.100000000,2718460.1366,2550000.0000,put,35.0000,40.0000,40.0000,113740.0000,-0.0100,0.8409,0.0000,-7.8000,4.7818,0.2598,0.0000,40.0000,0.2598
1567655160100000000,09:16:00.100000000,2718460.1366,2560000.0000,put,40.0000,65.0000,65.0000,40380.0000,-0.0100,0.8201,0.0000,-10.2000,6.4589,0.2598,0.0000,65.0000,0.2598
1567655160100000000,09:16:00.100000000,2718460.1366,2580000.0000,put,50.0000,80.0000,50.0000,43000.0000,-0.0100,0.7398,0.0000,-12.0000,8.3926,0.2597,0.0000,50.0000,0.2597
1567655160100000000,09:16:00.100000000,2718460.1366,2590000.0000,put,55.0000,90.0000,90.0000,38780.0000,-0.0100,0.6988,0.0000,-13.0000,9.6353,0.2597,0.0000,90.0000,0.2597
1567655160100000000,09:16:00.100000000,2718460.1366,2600000.0000,put,70.0000,75.0000,70.0000,310300.0000,-0.0100,0.6488,0.0000,-12.8000,10.2258,0.2597,0.0000,70.0000,0.2597
1567655160100000000,09:16:00.100000000,2718460.1366,2610000.0000,put,80.0000,85.0000,85.0000,85640.0000,-0.0100,0.6075,0.0000,-14.0000,11.9913,0.2597,0.0000,85.0000,0.2597
1567655160100000000,09:16:00.100000000,2718460.1366,2620000.0000,put,115.0000,125.0000,120.0000,203600.0000,-0.0100,0.5820,0.0001,-18.8000,16.7638,0.2597,0.0000,120.0000,0.2597
1567655160100000000,09:16:00.100000000,2718460.1366,2630000.0000,put,170.0000,175.0000,175.0000,206740.0000,-0.0200,0.5544,0.0001,-24.7000,23.1644,0.2597,0.0000,175.0000,0.2597
1567655160100000000,09:16:00.100000000,2718460.1366,2640000.0000,call,80250.0000,82555.0000,80090.0000,2320.0000,0.9000,0.8521,0.0003,-207.3000,124.0007,0.2597,78460.1366,1629.8634,0.2597
1567655160100000000,09:16:00.100000000,2718460.1366,2640000.0000,put,270.0000,285.0000,280.0000,332040.0000,-0.0200,0.5344,0.0001,-35.3000,34.3337,0.2597,0.0000,280.0000,0.2597
1567655160100000000,09:16:00.100000000,2718460.1366,2650000.0000,call,71730.0000,72425.0000,71730.0000,24300.0000,0.8800,0.8192,0.0003,-231.3000,144.1980,0.2597,68460.1366,3269.8634,0.2597
