timestamp,time,underlying_price,strike,type,bid_px,ask_px,trade_px,OI,delta,volatility,gamma,theta,vega,days_to_expiry,intrinsic_value,time_value,days_to_expiry
1567568760100000000,09:16:00.100000000,2670580.3779,2540000.0000,put,410.0000,420.0000,420.0000,92320.0000,-0.0200,0.4097,0.0001,-11.1000,68.5011,1.2597,0.0000,420.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2550000.0000,put,470.0000,485.0000,470.0000,99620.0000,-0.0300,0.3905,0.0001,-12.2000,78.9933,1.2597,0.0000,470.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2560000.0000,put,540.0000,550.0000,545.0000,23940.0000,-0.0300,0.3701,0.0001,-13.3000,90.7432,1.2597,0.0000,545.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2570000.0000,put,675.0000,695.0000,680.0000,39500.0000,-0.0400,0.3549,0.0001,-15.5000,110.6837,1.2597,0.0000,680.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2580000.0000,put,980.0000,1000.0000,1005.0000,35240.0000,-0.0500,0.3483,0.0002,-20.0000,145.8313,1.2597,0.0000,1005.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2590000.0000,put,1565.0000,1595.0000,1600.0000,36420.0000,-0.0700,0.3498,0.0002,-27.5000,199.7770,1.2597,0.0000,1600.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2600000.0000,put,2535.0000,2550.0000,2545.0000,243300.0000,-0.1000,0.3554,0.0003,-37.4000,267.7049,1.2597,0.0000,2545.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2610000.0000,put,3730.0000,3770.0000,3750.0000,74500.0000,-0.1400,0.3564,0.0004,-47.0000,335.7075,1.2597,0.0000,3750.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2620000.0000,put,5340.0000,5350.0000,5350.0000,101860.0000,-0.1800,0.3568,0.0005,-56.6000,405.1640,1.2597,0.0000,5350.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2630000.0000,put,7345.0000,7380.0000,7375.0000,112180.0000,-0.2300,0.3558,0.0005,-65.6000,471.4600,1.2597,0.0000,7375.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2640000.0000,call,40305.0000,41290.0000,40600.0000,100.0000,0.7100,0.3502,0.0006,-76.7000,528.9361,1.2597,30580.3779,10019.6221,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2640000.0000,put,9790.0000,9815.0000,9775.0000,156340.0000,-0.2900,0.3526,0.0006,-73.0000,530.1482,1.2597,0.0000,9775.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2650000.0000,call,34140.0000,34430.0000,34200.0000,19720.0000,0.6500,0.3551,0.0007,-84.6000,579.7864,1.2597,20580.3779,13619.6221,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2650000.0000,put,12915.0000,12950.0000,12915.0000,374820.0000,-0.3500,0.3512,0.0007,-79.2000,578.8595,1.2597,0.0000,12915.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2660000.0000,call,27790.0000,28050.0000,27900.0000,3780.0000,0.5800,0.3507,0.0007,-87.7000,611.8649,1.2597,10580.3779,17319.6221,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2660000.0000,put,16820.0000,16850.0000,16775.0000,155560.0000,-0.4200,0.3515,0.0007,-83.6000,611.9159,1.2597,0.0000,16775.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2670000.0000,call,22360.0000,22485.0000,22370.0000,13800.0000,0.5100,0.3492,0.0007,-89.0000,625.6029,1.2597,580.3779,21789.6221,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2670000.0000,put,21295.0000,21425.0000,21455.0000,154100.0000,-0.4900,0.3503,0.0007,-84.9000,625.6035,1.2597,0.0000,21455.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2680000.0000,call,17840.0000,17890.0000,17890.0000,78360.0000,0.4400,0.3511,0.0007,-88.2000,618.8697,1.2597,0.0000,17890.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2680000.0000,put,26535.0000,26765.0000,26535.0000,227060.0000,-0.5600,0.3498,0.0007,-83.5000,618.8110,1.2597,9419.6221,17115.3779,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2690000.0000,call,13930.0000,13960.0000,13995.0000,144520.0000,0.3700,0.3520,0.0007,-84.5000,592.7261,1.2597,0.0000,13995.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2690000.0000,put,32420.0000,33030.0000,32410.0000,108960.0000,-0.6300,0.3506,0.0007,-79.7000,592.4528,1.2597,19419.6221,12990.3779,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2700000.0000,call,10670.0000,10700.0000,10675.0000,516280.0000,0.3000,0.3527,0.0006,-78.4000,550.0205,1.2597,0.0000,10675.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2700000.0000,put,39425.0000,39845.0000,39840.0000,269520.0000,-0.7000,0.3543,0.0006,-74.4000,550.6980,1.2597,29419.6221,10420.3779,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2710000.0000,call,8085.0000,8110.0000,8085.0000,236240.0000,0.2400,0.3546,0.0006,-70.9000,495.7082,1.2597,0.0000,8085.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2710000.0000,put,46725.0000,47245.0000,46780.0000,41740.0000,-0.7600,0.3552,0.0006,-66.6000,496.0995,1.2597,39419.6221,7360.3779,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2720000.0000,call,5965.0000,5995.0000,5985.0000,410140.0000,0.1900,0.3552,0.0005,-62.0000,433.0771,1.2597,0.0000,5985.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2720000.0000,put,54560.0000,55030.0000,55080.0000,104520.0000,-0.8100,0.3543,0.0005,-57.2000,432.1903,1.2597,49419.6221,5660.3779,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2730000.0000,call,4325.0000,4350.0000,4330.0000,395360.0000,0.1500,0.3560,0.0004,-52.6000,367.5499,1.2597,0.0000,4330.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2730000.0000,put,62305.0000,63170.0000,62590.0000,36820.0000,-0.8600,0.3434,0.0004,-44.3000,352.9172,1.2597,59419.6221,3170.3779,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2740000.0000,call,3110.0000,3135.0000,3095.0000,301080.0000,0.1100,0.3579,0.0003,-43.8000,304.6572,1.2597,0.0000,3095.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2740000.0000,put,71080.0000,72895.0000,73070.0000,18560.0000,-0.8900,0.3584,0.0003,-39.5000,305.1740,1.2597,69419.6221,3650.3779,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2750000.0000,call,2210.0000,2215.0000,2215.0000,953880.0000,0.0800,0.3599,0.0003,-35.6000,246.2948,1.2597,0.0000,2215.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2750000.0000,put,80590.0000,81200.0000,80660.0000,103780.0000,-0.9200,0.3529,0.0003,-29.1000,237.2095,1.2597,79419.6221,1240.3779,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2760000.0000,call,1485.0000,1500.0000,1490.0000,381760.0000,0.0600,0.3592,0.0002,-27.6000,191.0587,1.2597,0.0000,1490.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2760000.0000,put,89170.0000,90785.0000,89900.0000,13380.0000,-0.9500,0.3387,0.0002,-17.9000,164.5408,1.2597,89419.6221,480.3779,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2770000.0000,call,990.0000,1005.0000,990.0000,379740.0000,0.0400,0.3595,0.0002,-20.9000,144.9331,1.2597,0.0000,990.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2770000.0000,put,98105.0000,101700.0000,100530.0000,12000.0000,-0.9600,0.3635,0.0002,-17.3000,149.7149,1.2597,99419.6221,1110.3779,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2780000.0000,call,715.0000,725.0000,715.0000,441140.0000,0.0300,0.3658,0.0001,-16.7000,113.4783,1.2597,0.0000,715.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2790000.0000,call,550.0000,560.0000,550.0000,254040.0000,0.0200,0.3762,0.0001,-13.9000,91.8963,1.2597,0.0000,550.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2800000.0000,call,470.0000,475.0000,475.0000,918280.0000,0.0200,0.3920,0.0001,-12.4000,79.0446,1.2597,0.0000,475.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2810000.0000,call,365.0000,375.0000,375.0000,147620.0000,0.0100,0.4023,0.0001,-10.4000,64.3936,1.2597,0.0000,375.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2820000.0000,call,290.0000,300.0000,300.0000,220960.0000,0.0100,0.4132,0.0001,-8.8000,52.9934,1.2597,0.0000,300.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2820000.0000,put,147375.0000,151075.0000,150960.0000,3220.0000,-0.9900,0.4293,0.0001,-6.3000,63.7314,1.2597,149419.6221,1540.3779,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2830000.0000,call,255.0000,260.0000,260.0000,250280.0000,0.0100,0.4286,0.0000,-8.0000,46.3167,1.2597,0.0000,260.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2840000.0000,call,210.0000,215.0000,210.0000,109160.0000,0.0000,0.4404,0.0000,-6.9000,38.9712,1.2597,0.0000,210.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2850000.0000,call,200.0000,210.0000,200.0000,384040.0000,0.0000,0.4604,0.0000,-6.8000,36.5853,1.2597,0.0000,200.0000,1.2597
1567568760100000000,09:16:00.100000000,2670580.3779,2860000.0000,call,105.0000,245.0000,105.0000,78900.0000,0.0000,0.4730,0.0000,-6.0000,31.5519,1.2598,0.0000,105.0000,1.2598
